iter	Logloss
0	0.6912256193
1	0.6890013272
2	0.6873984737
3	0.685613181
4	0.6846157803
5	0.6834043795
6	0.6813407557
7	0.6792782419
8	0.6778283229
9	0.6766320358
10	0.6750548571
11	0.6741196461
12	0.6723709048
13	0.6703757077
14	0.6691890132
15	0.6678434851
16	0.6664930926
17	0.6647128152
18	0.6629959366
19	0.661795622
20	0.6605075195
21	0.6595789003
22	0.6579069129
23	0.6562513015
24	0.6546453087
25	0.6539054241
26	0.6529243978
27	0.6518322046
28	0.6502659975
29	0.6487572765
30	0.6474014336
31	0.6458057528
32	0.6450632194
33	0.6439078783
34	0.6426188844
35	0.6411866665
36	0.6401669706
37	0.6389506523
38	0.6376565996
39	0.6357539233
40	0.6345513527
41	0.6334051061
42	0.6320353343
43	0.6309309824
44	0.6300879742
45	0.6291051307
46	0.6277781826
47	0.6260143055
48	0.6254058244
49	0.6241245267
50	0.6234335379
51	0.6227732049
52	0.6213388955
53	0.6200339959
54	0.618593565
55	0.6173208794
56	0.6162585637
57	0.61489721
58	0.6132644393
59	0.6121144562
60	0.6110043238
61	0.609670387
62	0.6084641939
63	0.6076925029
64	0.6068862821
65	0.6058265346
66	0.6040499166
67	0.6024152656
68	0.6011650063
69	0.6000237574
70	0.5988556883
71	0.5972362791
72	0.5956427809
73	0.5939090756
74	0.5919238819
75	0.5904636914
76	0.5895918046
77	0.5882800837
78	0.5873327534
79	0.5868156193
80	0.5853953028
81	0.5844442712
82	0.5835064908
83	0.5821296309
84	0.5805149624
85	0.5794264929
86	0.5780048929
87	0.5764461513
88	0.5752918565
89	0.5738190441
90	0.5724410467
91	0.5715297223
92	0.5702344501
93	0.5687448248
94	0.5678397912
95	0.5673231782
96	0.5656514353
97	0.5642368594
98	0.5629954594
99	0.5613595196
100	0.560239121
101	0.5594102557
102	0.5585143754
103	0.5572006764
104	0.5563683778
105	0.5549756844
106	0.5534594922
107	0.5526831
108	0.5510595733
109	0.5502206446
110	0.5486679307
111	0.5476499329
112	0.5463705307
113	0.5451066084
114	0.5438814038
115	0.5429913744
116	0.5420233672
117	0.540331696
118	0.5395676041
119	0.5388579531
120	0.5374354412
121	0.5361974964
122	0.5349550853
123	0.5342704205
124	0.5329975578
125	0.5320859375
126	0.530943138
127	0.5301202295
128	0.5293089516
129	0.5283056409
130	0.5268737112
131	0.5255327524
132	0.5244928817
133	0.5232882922
134	0.5221734856
135	0.5212922352
136	0.5194878972
137	0.518343231
138	0.5174792512
139	0.5170097932
140	0.5161025216
141	0.5150803671
142	0.5138773819
143	0.5130322272
144	0.5121551935
145	0.5107509411
146	0.5098306638
147	0.5086601651
148	0.5075941272
149	0.5068816701
150	0.5057335953
151	0.5046958721
152	0.503740615
153	0.5024657194
154	0.5014438486
155	0.5002179904
156	0.4990145003
157	0.4981683975
158	0.4968396755
159	0.4960111833
160	0.4952785103
161	0.4947179751
162	0.4941440828
163	0.4930259429
164	0.4921152972
165	0.4913270469
166	0.4908337056
167	0.4900764458
168	0.4892383505
169	0.4882318269
170	0.4868008979
171	0.4857484006
172	0.4848701726
173	0.4839386022
174	0.4830810204
175	0.4822400116
176	0.4815212228
177	0.4810392831
178	0.4803581162
179	0.4792542486
180	0.4781915768
181	0.4774928591
182	0.4763604716
183	0.4751143259
184	0.474466941
185	0.4733610594
186	0.4723358883
187	0.4715824439
188	0.4707838674
189	0.4694213561
190	0.4681284604
191	0.4666300401
192	0.4657140924
193	0.4644118949
194	0.4634563921
195	0.462563596
196	0.4618878882
197	0.4612491825
198	0.4600659163
199	0.4594233095
200	0.4581650162
201	0.456960296
202	0.455730169
203	0.4545714619
204	0.4535108241
205	0.452583677
206	0.4516957211
207	0.4509545311
208	0.449891257
209	0.4487053532
210	0.4481632232
211	0.447547764
212	0.4465874433
213	0.4455813252
214	0.4442539509
215	0.4431721707
216	0.44189117
217	0.4408937468
218	0.4398036124
219	0.4389066591
220	0.4382432911
221	0.4377134995
222	0.4361167004
223	0.4349067878
224	0.4342977394
225	0.4331202773
226	0.4322428207
227	0.4316491135
228	0.4308131531
229	0.4295151488
230	0.4288018313
231	0.428047282
232	0.4269024997
233	0.4259217158
234	0.4252535454
235	0.4246953562
236	0.423939069
237	0.4231433646
238	0.4223333854
239	0.421044117
240	0.4206034951
241	0.4200461699
242	0.4190505626
243	0.4178943072
244	0.4174741856
245	0.4166178179
246	0.4160468751
247	0.4152055059
248	0.4143879633
249	0.4139658942
250	0.4136287566
251	0.4129934838
252	0.4122550626
253	0.411613821
254	0.4109123984
255	0.4093813796
256	0.4090231218
257	0.4081825752
258	0.4071156023
259	0.4063749424
260	0.4058481056
261	0.4050389453
262	0.40437331
263	0.4036752851
264	0.402853104
265	0.4020868306
266	0.4013498271
267	0.4006594587
268	0.3999179736
269	0.3991760321
270	0.3981473368
271	0.39749859
272	0.3969317484
273	0.3964304947
274	0.3957508762
275	0.3950963948
276	0.3940868834
277	0.3933911387
278	0.3927334162
279	0.3919041291
280	0.3914284959
281	0.3904094427
282	0.3897935516
283	0.3892003288
284	0.3886011186
285	0.3879321682
286	0.3872601383
287	0.3867766457
288	0.3861286928
289	0.385163183
290	0.3841345473
291	0.3830051022
292	0.3823382635
293	0.3818042416
294	0.3811941027
295	0.3800322054
296	0.3791686369
297	0.3782949969
298	0.3775688688
299	0.376479998
300	0.3760092277
301	0.3753276258
302	0.374381119
303	0.3736744993
304	0.3732268381
305	0.3728545018
306	0.3720372635
307	0.3713547124
308	0.3706627296
309	0.3703094897
310	0.3695973362
311	0.3689335741
312	0.3683198005
313	0.3676709082
314	0.3674322297
315	0.3666344445
316	0.366030578
317	0.365411282
318	0.3646485534
319	0.3638046362
320	0.3632906502
321	0.3624895112
322	0.3619590238
323	0.3613090968
324	0.3606330001
325	0.3598314435
326	0.3591804937
327	0.3586817971
328	0.3580387351
329	0.3572350633
330	0.3565789627
331	0.3557608473
332	0.3552823489
333	0.3547452378
334	0.3541737809
335	0.3533116417
336	0.3527181832
337	0.351900913
338	0.3512395621
339	0.3503463766
340	0.3498634452
341	0.3490652454
342	0.348511845
343	0.3480738468
344	0.3474626204
345	0.3465386188
346	0.3459304593
347	0.3452674438
348	0.3448388415
349	0.3441356769
350	0.3435733891
351	0.3431287347
352	0.3424780711
353	0.3416718444
354	0.3409685883
355	0.3404170918
356	0.3396510456
357	0.3390734391
358	0.3386005189
359	0.337682784
360	0.3372236209
361	0.3367734643
362	0.3363263472
363	0.3358284968
364	0.3351004103
365	0.3346462358
366	0.3337413653
367	0.3329006625
368	0.3322098421
